Program Time [s],data 0,data 1
58.3198,0,0
58.3298,0,0
58.3398,0,0
58.3497,0,0
58.3597,0,0
58.3697,0,0
58.3797,0,0
58.3897,0,0
58.3996,0,0
58.4096,0,0
58.4196,0,0
58.4296,0,0
58.4396,0,0
58.4494,0,0
58.4594,0,0
58.4694,0,0
58.4794,0,0
58.4894,0,0
58.4993,0,0
58.5093,0,0
58.5193,0,0
58.5293,0,0
58.5393,0,0
58.5492,0,0
58.5592,0,0
58.5692,0,0
58.5792,0,0
58.5892,0,0
58.5991,0,0
58.6091,0,0
58.619,0,0
58.6291,0,0
58.6391,0,0
58.6489,0,0
58.659,0,0
58.6689,0,0
58.6789,0,0
58.6889,0,0
58.6988,0,0
58.7088,0,0
58.7188,0,0
58.7288,0,0
58.7388,0,0
58.7487,0,0
58.7587,0,0
58.7687,0,0
58.7787,0,0
58.7887,0,0
58.7986,0,0
58.8086,0,0
58.8186,0,0
58.8286,0,0
58.8386,0,0
58.8486,0,0
58.8584,0,0
58.8684,0,0
58.8784,0,0
58.8885,0,0
58.8984,0,0
58.9083,0,0
58.9183,0,0
58.9283,0,0
58.9383,0,0
58.9483,0,0
58.9583,0,0
58.9682,0,0
58.9782,0,0
58.9882,0,0
58.9982,0,0
59.0082,0,0
59.0181,0,0
59.0281,0,0
59.0381,0,0
59.0481,0,0
59.0581,0,0
59.0681,0,0
59.0779,0,0
59.0879,0,0
59.0979,0,0
59.1079,0,0
59.1179,0,0
59.1278,0,0
59.1378,0,0
59.1478,0,0
59.1578,0,0
59.1678,0,0
59.1777,0,0
59.1877,0,0
59.1977,0,0
59.2077,0,0
59.2177,0,0
59.2277,0,0
59.2376,0,0
59.2476,0,0
59.2576,0,0
59.2676,0,0
59.2776,0,0
59.2875,0,0
59.2974,0,0
59.3074,0,0
59.3174,0,0
59.3274,0,0
59.3373,0,0
59.3473,0,0
59.3573,0,0
59.3673,0,0
59.3773,0,0
59.3872,0,0
59.3972,0,0
59.4072,0,0
59.4172,0,0
59.4272,0,0
59.4372,0,0
59.4471,0,0
59.4571,0,0
59.4671,0,0
59.4771,0,0
59.4871,0,0
59.4969,0,0
59.5069,0,0
59.5169,0,0
59.5269,0,0
59.5369,0,0
59.5469,0,0
59.5568,0,0
59.5668,0,0
59.5768,0,0
59.5868,0,0
59.5968,0,0
59.6068,0,0
59.6167,0,0
59.6267,0,0
59.6367,0,0
59.6467,0,0
59.6567,0,0
59.6666,0,0
59.6766,0,0
59.6866,0,0
59.6966,0,0
59.7066,0,0
59.7164,0,0
59.7264,0,0
59.7364,0,0
59.7464,0,0
59.7564,0,0
59.7664,0,0
59.7763,0,0
59.7863,0,0
59.7963,0,0
59.8063,0,0
59.8163,0,0
59.8262,0,0
59.8362,0,0
59.8462,0,0
59.8562,0,0
59.8662,0,0
59.8761,0,0
59.8861,0,0
59.8961,0,0
59.9061,0,0
59.9159,0,0
59.9259,0,0
59.936,0,0
59.9459,0,0
59.956,0,0
59.9658,0,0
59.9758,0,0
59.9858,0,0
59.9958,0,0
60.0058,0,0
60.0157,0,0
60.0257,0,0
60.0357,0,0
60.0457,0,0
60.0557,0,0
60.0656,0,0
60.0756,0,0
60.0856,0,0
60.0956,0,0
60.1056,0,0
60.1154,0,0
60.1254,0,0
60.1354,0,0
60.1454,0,0
60.1555,0,0
60.1653,0,0
60.1753,0,0
60.1853,0,0
60.1953,0,0
60.2053,0,0
60.2152,0,0
60.2252,0,0
60.2352,0,0
60.2452,0,0
60.2552,0,0
60.2651,0,0
60.2751,0,0
60.2851,0,0
60.2951,0,0
60.3051,0,0
60.3149,0,0
60.325,0,0
60.335,0,0
60.3449,0,0
60.355,0,0
60.3648,0,0
60.3748,0,0
60.3848,0,0
60.3948,0,0
60.4048,0,0
60.4147,0,0
60.4247,0,0
60.4347,0,0
60.4447,0,0
60.4547,0,0
60.4646,0,0
60.4746,0,0
60.4846,0,0
60.4946,0,0
60.5046,0,0
60.5145,0,0
60.5245,0,0
60.5344,0,0
60.5445,0,0
60.5545,0,0
60.5643,0,0
60.5743,0,0
60.5843,0,0
60.5943,0,0
60.6043,0,0
60.6142,0,0
60.6242,0,0
60.6342,0,0
60.6442,0,0
60.6542,0,0
60.6641,0,0
60.6741,0,0
60.6841,0,0
60.6941,0,0
60.7041,0,0
60.7139,0,0
60.7239,0,0
60.7339,0,0
60.7439,0,0
60.7539,0,0
60.7638,0,0
60.7738,0,0
60.7838,0,0
60.7938,0,0
60.8038,0,0
60.8137,0,0
60.8237,0,0
60.8337,0,0
60.8437,0,0
60.8537,0,0
60.8636,0,0
60.8736,0,0
60.8836,0,0
60.8936,0,0
60.9036,0,0
60.9134,0,0
60.9234,0,0
60.9334,0,0
60.9434,0,0
60.9533,0,0
60.9633,0,0
60.9733,0,0
60.9833,0,0
60.9933,0,0
61.0032,0,0
61.0132,0,0
61.0232,0,0
61.0332,0,0
61.0432,0,0
61.0531,0,0
61.0631,0,0
61.0731,0,0
61.0831,0,0
61.0931,0,0
61.1031,0,0
61.1129,0,0
61.1229,0,0
61.1329,0,0
61.1429,0,0
61.1529,0,0
61.1628,0,0
61.1728,0,0
61.1828,0,0
61.1928,0,0
61.2028,0,0
61.2127,0,0
61.2227,0,0
61.2327,0,0
61.2427,0,0
61.2527,0,0
61.2626,0,0
61.2726,0,0
61.2826,0,0
61.2926,0,0
61.3026,0,0
61.3124,0,0
61.3224,0,0
61.3324,0,0
61.3424,0,0
61.3524,0,0
61.3623,0,0
61.3723,0,0
61.3823,0,0
61.3923,0,0
61.4023,0,0
61.4122,0,0
61.4222,0,0
61.4322,0,0
61.4422,0,0
61.4522,0,0
61.4622,0,0
61.4721,0,0
61.4821,0,0
61.4921,0,0
61.5021,0,0
61.5121,0,0
61.522,0,0
61.5319,0,0
61.542,0,0
61.552,0,0
61.562,0,0
61.5718,0,0
61.5818,0,0
61.5918,0,0
61.6018,0,0
61.6118,0,0
61.6217,0,0
61.6317,0,0
61.6417,0,0
61.6517,0,0
61.6617,0,0
61.6716,0,0
61.6816,0,0
61.6916,0,0
61.7016,0,0
61.7116,0,0
61.7214,0,0
61.7314,0,0
61.7414,0,0
61.7514,0,0
61.7614,0,0
61.7713,0,0
61.7813,0,0
61.7913,0,0
61.8013,0,0
61.8113,0,0
61.8212,0,0
61.8312,0,0
61.8412,0,0
61.8512,0,0
61.8612,0,0
61.8711,0,0
61.8811,0,0
61.8911,0,0
61.9011,0,0
61.9111,0,0
61.9209,0,0
61.9309,0,0
61.9409,0,0
61.9509,0,0
61.9609,0,0
61.9708,0,0
61.9808,0,0
61.9908,0,0
62.0008,0,0
62.0108,0,0
62.0207,0,0
62.0307,0,0
62.0407,0,0
62.0507,0,0
62.0607,0,0
62.0706,0,0
62.0806,0,0
62.0906,0,0
62.1006,0,0
62.1106,0,0
62.1206,0,0
62.1304,0,0
62.1404,0,0
62.1504,0,0
62.1604,0,0
62.1704,0,0
62.1803,0,0
62.1903,0,0
62.2003,0,0
62.2103,0,0
62.2203,0,0
62.2302,0,0
62.2402,0,0
62.2502,0,0
62.2602,0,0
62.2702,0,0
62.2801,0,0
62.2901,0,0
62.3001,0,0
62.3101,0,0
62.3201,0,0
62.3299,0,0
62.3399,0,0
62.3499,0,0
62.3599,0,0
62.3699,0,0
62.3798,0,0
62.3898,0,0
62.3998,0,0
62.4098,0,0
62.4198,0,0
62.4297,0,0
62.4397,0,0
62.4497,0,0
62.4597,0,0
62.4697,0,0
62.4796,0,0
62.4896,0,0
62.4996,0,0
62.5096,0,0
62.5196,0,0
62.5294,0,0
62.5394,0,0
62.5494,0,0
